trimestre,segmento,cMenu,cDID_Centro_Transferencia,nota
Q03_25,Puebla,ANI,0,
Q03_25,Puebla,cliente_colgo,19020086,
Q03_25,Puebla,Desborde_Cabecera,15070013,diferente de Q01(10928253) Q02(10428174)
Q03_25,Puebla,Desborde_Promocional,19020086,
Q03_25,Puebla,KIPSOLCOM,10928357,NUEVO Q03
Q03_25,Puebla,Marque3,19020086,
Q03_25,Puebla,MenuSaldosCabecera,0,NUEVO Q03 VDN=0
Q03_25,Puebla,NOTMX-CONT-Contratacion,15070059,
Q03_25,Puebla,NOTMX-CONT-Portabilidad,14929014,
Q03_25,Puebla,NOTMX-SeguimientoInstalacion,19020088,CAMBIO desde 10728487
Q03_25,Puebla,NoTMX_SinOp,15070013,
Q03_25,Puebla,Numero Telmex,19020086,diferente de Q02 (era 0)
Q03_25,Puebla,RES-ContratacionInfinitum_2024,15070006,
Q03_25,Puebla,RES-ContratacionInfinitum_FM,15070006,
Q03_25,Puebla,RES-Fallas_2024,10828091,
Q03_25,Puebla,RES-SaldosPagos_2024,NK90_309005_len16,3.09005E+15
Q03_25,Puebla,RES-SaldosPagos_FM,NK90_309004_len16,3.09004E+15
Q03_25,Puebla,RES-SegInst_2024,10728487,
Q03_25,Puebla,RES_FALLA_STOP,19010000,
Q03_25,Puebla,SaldoCabecera,0,NUEVO Q03 VDN=0
Q03_25,Puebla,Saldos1_Pagar,14928994,NUEVO Q03
Q03_25,Puebla,Saldos3_Otra,0,NUEVO Q03 VDN=0
Q03_25,Puebla,SinOpcion_Cabecera,19020086,
Q03_25,Puebla,Tmx_SOMO,14929961,
Q03_25,Puebla,telefono_cMenu_AGREGADO,19020086,~300 numeros de tel como cMenu -> todos a 19020086
